wavelength,Back_PorCaef,Belly_PorCaef,Breast_PorCaef,Crissum_PorCaef,Crown_PorCaef,DorTail_PorCaef,Rump_PorCaef,Throat_PorCaef,WingTip_PorCaef
246.42,2.58393333333,3.3756,2.14873333333,3.70733333333,2.32286666667,5.6032,3.51686666667,2.8534,7.0748
246.79,2.54566666667,3.4442,2.12013333333,3.58346666667,2.42633333333,5.609,3.49136666667,2.84686666667,7.09966666667
247.17,2.4202,3.55493333333,2.16733333333,3.4922,2.46666666667,5.53653333333,3.4761,2.86813333333,7.15866666666
247.54,2.719,3.94966666667,2.631,3.89926666667,2.76313333333,5.7618,3.80556666667,3.19033333333,7.41746666666
247.92,2.94533333333,4.27753333333,3.00293333333,4.22013333334,3.01366666667,6.1168,4.0089,3.47413333333,7.64706666667
248.29,2.8598,4.28026666667,3.0924,4.21126666667,3.03993333333,6.12813333333,4.03003333333,3.44233333333,7.60733333333
248.67,2.9486,4.5024,3.4268,4.45206666667,3.1938,6.22413333333,4.24983333333,3.7516,7.83679999999
249.04,2.6836,4.2144,3.17893333333,4.06533333333,2.91493333333,5.79733333333,3.98426666666,3.5118,7.55540000001
249.42,2.4264,4.13713333333,2.9974,3.862,2.71286666667,5.64633333333,3.84586666667,3.3024,7.42346666667
249.79,2.18053333333,3.97466666667,2.8072,3.57553333333,2.54286666667,5.4724,3.6319,3.1398,7.1464
250.17,2.23626666666,4.13046666667,2.8256,3.52546666667,2.69653333333,5.56433333334,3.6714,3.28873333333,7.23233333333
250.54,2.1672,4.0586,2.6622,3.3106,2.5682,5.43806666667,3.59353333334,3.19386666667,7.14446666667
250.92,2.70293333333,4.69093333333,3.30306666667,3.94246666667,3.13333333333,6.01526666667,4.1834,3.77873333333,7.66973333334
251.29,3.03813333333,4.905,3.65086666667,4.22526666667,3.32213333333,6.21353333333,4.47113333333,4.08813333333,7.78046666665
