wavelength,Back_ThrEpim,Belly_ThrEpim,Breast_ThrEpim,Crissum_ThrEpim,Crown_ThrEpim,DorTail_ThrEpim,Patch10_ThrEpim,Patch11_ThrEpim,Rump_ThrEpim,Throat_ThrEpim,WingTip_ThrEpim
414.72,20.9275333333,40.8508666667,37.348,34.223,32.3492,11.7874666667,19.3754666667,72.4564666667,38.4801666667,37.0475333333,7.9274
415.07,20.9863333333,40.8937333334,37.4164666667,34.2472666667,32.3569333333,11.8541333333,19.4531333333,72.6378666667,38.5551,37.0615333333,8.00413333333
415.43,20.9846,40.9952666667,37.4922,34.3297333333,32.3931333333,11.8886666667,19.5033333333,72.9052666667,38.6343,37.1356666667,8.03233333333
415.79,21.0836666667,41.1392,37.6248666667,34.4302,32.4652666667,11.9815333333,19.6117333333,73.2046666667,38.784,37.2181333333,8.11166666667
416.15,21.0896,41.1604666667,37.6459333333,34.4142,32.4134,12.0104,19.6667333333,73.31,38.8139,37.242,8.14566666667
416.51,21.0965333333,41.2067333334,37.6875333333,34.4129333333,32.4287333333,12.0203333333,19.6906666667,73.4892,38.8798666667,37.2674666667,8.18073333333
416.86,21.1258666667,41.289,37.7584,34.4802,32.456,12.0876,19.7392,73.6936,38.9894666667,37.3118,8.21600000001
417.22,21.0447333333,41.2577333333,37.715,34.4174,32.371,12.0292666667,19.6931333333,73.7111333333,38.9399666667,37.2156,8.18126666666
417.58,21.0199333333,41.2643333333,37.7142666666,34.4064,32.3648666667,12.0384,19.7017333333,73.8513333334,38.9706,37.2420666667,8.21166666667
417.94,20.9975333333,41.3000666667,37.7504,34.3993333333,32.3279333333,12.041,19.6979333333,74.0571333333,38.9970666667,37.2450666667,8.18840000001
418.29,20.9708,41.2789333333,37.7258666667,34.3742,32.2543333333,12.0229333333,19.6920666667,74.1781333333,39.0112,37.2612666667,8.17313333334
418.65,20.9169333333,41.2797333333,37.7316,34.3570666667,32.2225333333,12.0210666667,19.6852666667,74.3588666667,39.0464,37.2365333333,8.162
419.01,20.8576,41.2748666667,37.7032666667,34.3156666667,32.1708,12.0064,19.6565333333,74.4324,39.0294666667,37.2082,8.1526
419.37,20.8288666666,41.2784,37.6976,34.2884,32.1458,11.988,19.6385333333,74.5577333333,39.0452,37.1713333333,8.12919999999
419.73,20.7664,41.2322666667,37.6555333333,34.2242666667,32.0696666667,11.9649333333,19.5821333333,74.6116,39.0177333333,37.1300666667,8.10333333334
