wavelength,Back_IriAnaf,Belly_IriAnaf,Breast_IriAnaf,Crissum_IriAnaf,Crown_IriAnaf,DorTail_IriAnaf,Patch10_IriAnaf,Rump_IriAnaf,Throat_IriAnaf,WingTip_IriAnaf
363.11,6.40906666667,8.42739999999,8.01246666667,6.11786666667,7.1574,7.64746666667,4.84146666667,7.07913333333,9.67793333333,7.1474
363.48,6.36266666667,8.38219999999,7.96106666667,6.0778,7.09973333333,7.53966666667,4.8008,6.9998,9.59586666666,7.09933333333
363.84,6.4146,8.41439999999,8.0462,6.1456,7.15073333333,7.57613333333,4.86626666667,7.0458,9.61213333334,7.13613333333
364.20,6.42093333333,8.43826666667,8.06139999999,6.1536,7.15566666667,7.5736,4.87293333333,7.04246666667,9.61193333334,7.15306666667
364.57,6.48646666667,8.50906666667,8.1508,6.20293333333,7.21986666667,7.66273333333,4.91526666667,7.11333333333,9.6792,7.20566666666
364.93,6.41633333333,8.45286666666,8.10606666667,6.0964,7.15486666667,7.56513333333,4.82826666667,7.03846666667,9.63493333334,7.1082
365.29,6.345,8.40286666667,8.0406,6.03393333333,7.08433333333,7.51273333333,4.74646666667,6.97346666667,9.564,7.02733333334
365.66,6.3064,8.33506666666,7.99373333334,6.00153333333,7.02633333333,7.48186666667,4.70173333333,6.9274,9.50486666667,6.98353333333
366.02,6.16913333333,8.1892,7.83566666667,5.87213333333,6.89893333333,7.26573333333,4.54673333333,6.77933333333,9.35453333334,6.8524
366.38,6.27173333334,8.24700000001,7.90059999999,5.94906666667,6.9534,7.31506666667,4.59693333333,6.84453333333,9.41859999999,6.892
366.75,6.16726666667,8.19639999999,7.75146666667,5.85606666666,6.847,7.20153333333,4.50666666666,6.76153333333,9.34453333334,6.79593333333
367.11,6.12126666667,8.17453333333,7.71833333334,5.79633333333,6.8106,7.12786666667,4.4448,6.7046,9.33226666667,6.72593333333
367.47,6.10433333333,8.20139999999,7.71240000001,5.78333333333,6.81966666667,7.15113333333,4.412,6.717,9.34686666667,6.74393333333
367.84,5.9978,8.16213333334,7.61446666667,5.69233333333,6.7514,7.06926666667,4.30426666666,6.64326666667,9.27906666667,6.669
368.20,5.94113333333,8.15013333333,7.55866666666,5.60006666667,6.7106,6.99826666667,4.2478,6.5768,9.23833333333,6.6092
368.56,5.93553333333,8.1636,7.55933333333,5.59213333333,6.69206666667,6.937,4.25393333333,6.54226666666,9.19333333333,6.6036
