wavelength,Back_NepOnem,Belly_NepOnem,Breast_NepOnem,Crissum_NepOnem,Crown_NepOnem,DorTail_NepOnem,Rump_NepOnem,Throat_NepOnem,WingTip_NepOnem
287.44,3.35893333334,4.54106666667,3.87793333333,3.44666666667,2.8238,6.39833333334,3.87326666667,4.235,6.79613333333
287.82,3.37893333333,4.54246666667,3.8858,3.45946666667,2.8966,6.397,3.90143333333,4.32306666667,6.8152
288.19,3.334,4.46106666667,3.89673333333,3.407,2.85126666667,6.3454,3.88023333333,4.36433333333,6.8212
288.56,3.0442,4.09466666666,3.6044,3.0344,2.49786666667,6.01426666667,3.58613333333,4.09606666667,6.54933333333
288.93,3.01413333333,3.98386666667,3.50686666667,2.9432,2.4266,5.93053333333,3.52946666667,4.0164,6.52213333333
289.30,3.1656,4.12613333334,3.51953333333,3.0586,2.52473333333,6.0516,3.65373333333,4.12906666666,6.62666666667
289.67,3.289,4.3428,3.6812,3.2288,2.70773333333,6.2014,3.82743333333,4.24393333333,6.81826666667
290.04,3.20326666667,4.35433333333,3.69513333333,3.18153333333,2.68933333333,6.14733333333,3.83843333333,4.23333333333,6.81046666667
290.41,3.08886666667,4.2418,3.6314,3.11353333333,2.6248,6.06913333333,3.8372,4.16346666667,6.66373333333
290.78,3.02193333333,4.2702,3.55286666667,3.05113333333,2.60473333333,5.93146666667,3.7059,4.10846666666,6.54406666667
291.15,3.15773333334,4.42006666667,3.66693333333,3.2164,2.75986666667,6.03046666667,3.87523333333,4.18013333333,6.64626666667
291.52,3.31433333333,4.59066666667,3.803,3.34366666667,2.89606666666,6.12333333334,4.09376666667,4.34773333333,6.79333333334
291.89,3.38226666667,4.686,3.8578,3.41193333333,2.95406666667,6.15113333333,4.1689,4.41773333333,6.90233333333
