wavelength,Back_HemVerf,Belly_HemVerf,Breast_HemVerf,Crissum_HemVerf,Crown_HemVerf,DorTail_HemVerf,Rump_HemVerf,Throat_HemVerf,WingTip_HemVerf
426.16,9.83683333335,32.8023333333,22.048,15.655,10.7778333333,7.29333333333,10.7475416667,6.48533333334,8.3145
426.51,9.8535,32.8754166667,22.1006666666,15.692,10.82625,7.30033333333,10.792575,6.49766666667,8.32733333333
426.87,9.89325,32.9321666667,22.15425,15.73875,10.8650833333,7.29975,10.835825,6.52333333333,8.36533333334
427.23,9.95533333334,33.0351666666,22.2316666667,15.8159166667,10.9425833333,7.35008333334,10.883275,6.586,8.409
427.58,9.97791666667,33.1116666667,22.2945,15.8955,11.0113333333,7.38758333333,10.9420833334,6.636,8.44933333333
427.94,9.96999999999,33.1758333333,22.3318333333,15.9344166667,11.0220833333,7.39608333333,10.9428833333,6.63808333333,8.45541666667
428.30,9.99175000001,33.2265833333,22.3691666667,15.9665,11.0733333334,7.41933333333,10.9871916667,6.668,8.50675
428.65,10.01,33.2970833333,22.4181666667,16.00775,11.1141666667,7.43075,11.015025,6.67233333333,8.52825
429.01,10.0030833333,33.3798333333,22.4836666667,16.0654166667,11.1355,7.45808333333,11.03595,6.67875,8.53716666667
429.37,9.96333333333,33.3646666667,22.48525,16.08825,11.1123333333,7.42633333333,11.0202916667,6.66208333333,8.52925
429.72,9.97741666668,33.4204166666,22.5375833333,16.16075,11.1529166667,7.43641666667,11.0261833334,6.65466666667,8.52475
