wavelength,Back_LanFulf,Belly_LanFulf,Breast_LanFulf,Crissum_LanFulf,Crown_LanFulf,DorTail_LanFulf,Patch10_LanFulf,Rump_LanFulf,Throat_LanFulf,WingTip_LanFulf
818.41,11.3321111111,40.6958888889,26.7107777778,34.5925555555,9.10255555556,24.3944444445,12.9661111111,21.8763333334,32.9488888889,14.4561111111
818.72,11.3016666667,40.3266666667,26.2857777778,34.6394444444,8.907,24.363,13.0611111111,22.1043333333,32.3263333333,14.4943333333
819.02,11.8381111111,40.033,26.0635555556,34.6634444445,9.19444444444,24.6096666667,13.862,22.6435555556,32.2595555555,14.8038888889
819.33,12.2511111111,40.2621111111,26.4564444445,35.0506666667,9.13455555556,24.8646666667,14.5902222222,23.1921111111,32.6968888889,15.0787777778
819.63,12.9661111111,41.0808888889,27.0812222222,35.7018888889,9.821,25.5664444444,15.0137777778,24.3017777778,33.3077777778,15.9058888889
819.93,13.6913333333,41.8104444445,27.6623333333,36.3007777778,10.3424444445,25.8185555555,15.3417777778,25.0388888889,33.7044444444,16.7983333333
820.24,13.8967777778,42.2737777778,28.0514444444,36.8606666667,10.6363333333,26.152,15.5881111111,25.2611111111,34.2603333333,17.2524444444
820.54,14.32,42.5298888889,28.2898888889,37.2314444445,11.1718888889,26.4398888889,15.8538888889,25.6365555555,34.6008888889,17.6734444444
820.85,15.0731111111,43.1652222222,28.9327777778,37.8582222222,11.7228888889,26.9992222222,16.5587777778,26.3152222222,35.3325555556,18.2862222222
821.15,15.5362222222,43.559,29.2385555556,38.4076666667,12.011,27.1143333333,17.0168888889,26.8553333333,35.7452222222,18.6457777778
