wavelength,Back_CyaCaef,Belly_CyaCaef,Breast_CyaCaef,Crissum_CyaCaef,Crown_CyaCaef,DorTail_CyaCaef,Patch10_CyaCaef,Rump_CyaCaef,Throat_CyaCaef,WingTip_CyaCaef
251.66,4.03053333333,5.6506,4.60026666667,4.14113333333,2.61903333333,5.28066666667,4.54513333333,4.22606666667,1.72633333333,4.95326666667
252.04,3.28966666667,5.08513333333,4.18526666667,3.4164,1.8022,4.44286666667,3.9318,3.59106666667,0.908666666666,4.1896
252.41,2.429,4.6874,3.65733333333,2.6766,0.789433333332,3.51333333333,3.25673333333,2.81606666667,0.0313999999994,3.4952
252.79,3.01246666667,5.51726666667,4.25153333333,3.13353333333,1.367,4.175,4.04046666667,3.4074,0.754199999999,3.89233333333
253.16,3.4012,5.90333333333,4.4084,3.5546,1.5154,4.36786666667,4.34073333333,3.53213333333,1.10666666667,3.71726666667
253.54,2.76493333334,5.52526666667,3.82433333334,2.99226666667,0.982333333334,3.76086666667,3.64266666666,2.82406666667,0.241,3.0968
253.91,1.93213333333,5.062,2.6666,2.45613333333,0.0256999999999,2.96606666667,2.78353333333,2.09593333333,-0.6878,2.10526666667
254.28,2.0364,5.41566666667,2.70546666667,2.84613333333,-0.0581666666668,3.1078,2.79753333333,2.01213333333,-0.659466666667,2.54546666667
254.66,1.03646666667,4.86553333333,1.68553333333,1.9976,-0.817633333333,2.19373333333,1.71066666667,0.654,-1.53453333333,1.62013333333
255.03,1.79206666667,5.84626666667,2.278,2.8056,-0.0993000000001,2.87366666667,2.34586666667,1.1024,-0.637333333333,2.45566666667
255.41,1.3574,5.5786,1.69273333333,2.54466666667,-0.513966666667,2.53913333333,1.98406666667,0.785999999999,-1.0828,1.94553333333
255.78,1.04373333333,5.54426666667,1.4926,2.40186666667,-0.802466666667,2.2616,1.925,0.639799999999,-0.981933333334,1.41426666667
256.15,2.60886666667,6.861,2.35353333333,4.06886666667,0.596733333334,3.586,3.44173333333,2.015,0.888200000001,2.64786666667
256.53,2.94433333333,7.1312,2.658,4.79193333333,1.00223333333,3.96013333333,3.99253333333,2.48513333333,1.0806,2.5986
256.90,2.71573333333,6.39106666667,2.47066666666,4.62466666667,0.964866666666,3.67026666667,3.83353333333,2.2666,0.8322,2.30726666667
257.28,3.1094,6.5062,3.0668,5.053,1.41543333333,4.06226666667,4.171,2.7506,1.2078,2.92046666667
257.65,3.12286666667,6.15806666666,2.7476,4.62793333333,1.3634,3.91493333333,4.0566,2.58913333333,1.06313333333,2.835
258.02,3.69206666667,6.54046666667,3.775,4.853,2.15076666667,4.51053333333,4.77013333333,3.37126666667,1.8244,3.66673333333
