wavelength,Back_DigSitf,Belly_DigSitf,Breast_DigSitf,Crissum_DigSitf,Crown_DigSitf,DorTail_DigSitf,Rump_DigSitf,Throat_DigSitf,WingTip_DigSitf
813.24,22.6865,47.1391666667,45.6466666666,45.8244761905,25.9201666667,28.8183333334,26.965,44.0796666666,27.96
813.54,23.7808333334,48.215,45.9526666667,47.7986666667,27.7275,31.1715833334,29.2863333334,44.2938333334,30.4675
813.85,26.5108333333,50.1461666667,47.7828333333,49.3351666666,29.3128333333,34.4789166667,31.8955,45.005,32.5536666667
814.15,27.719,52.6436666667,50.0001666667,51.0826428571,29.557,35.9644166666,32.5778333333,46.2741666667,34.542
814.46,28.6696666667,54.0265,52.3955,52.2316666667,30.4791666667,37.0286666666,33.2315,45.9226666667,35.3466666666
814.76,27.8851666667,54.9383333333,53.3281666666,53.0366190476,29.8441666667,36.5139166666,31.4278333334,45.7056666667,35.4266666667
815.07,26.8835,53.1166666667,53.4418333333,50.9252380953,28.5095,34.09225,29.5665,44.065,34.553
815.37,28.532,54.0561666667,54.7738333333,51.6319761905,29.277,35.6236666666,30.8776666667,45.1986666666,35.0993333333
815.68,28.1875,55.0888333333,55.9461666667,52.5077857143,30.1028333333,35.9493333333,31.5323333333,46.1976666666,34.9913333333
815.98,26.803,54.1456666667,55.2528333333,52.2389523809,29.3866666667,33.71675,31.9421666667,47.1036666666,32.8223333334
816.29,27.4593333333,53.5973333333,55.6773333334,53.0875952381,30.6353333334,33.7970833334,32.5183333334,49.0161666666,34.0923333333
816.59,26.4076666667,52.8996666667,55.5178333333,53.2697142857,29.392,33.76975,30.6026666667,48.4233333334,33.6711666667
816.89,26.0575,53.2996666667,55.8373333333,52.7435952381,27.9751666667,32.05025,29.4135,47.321,32.8818333334
817.20,22.3835,50.512,53.8398333333,51.3247142857,26.024,28.797,26.9056666667,45.7621666667,30.2048333333
817.50,21.8353333334,48.5628333333,52.211,50.2327857142,25.788,27.598,25.926,44.5275,30.238
