wavelength,Back_AniLacf,Belly_AniLacf,Breast_AniLacf,Crissum_AniLacf,Crown_AniLacf,DorTail_AniLacf,Patch10_AniLacf,Patch11_AniLacf,Patch12_AniLacf,Patch13_AniLacf,Rump_AniLacf,Throat_AniLacf,WingTip_AniLacf
416.15,12.4024,7.41358333333,5.88033333333,6.39506666667,12.865,7.89226666667,9.4976,9.96593333333,26.2388666667,10.4585666667,27.7207333333,6.48,8.79713333333
416.51,12.3524666667,7.337125,5.802,6.3082,12.8237333333,7.8376,9.44306666667,9.92166666667,26.1665333333,10.3705666667,27.6735333333,6.40786666667,8.76586666666
416.86,12.3433333333,7.28483333333,5.7718,6.2606,12.8228,7.80646666667,9.43106666666,9.92473333333,26.1252,10.3133666667,27.6284,6.36473333333,8.7342
417.22,12.2727333333,7.18479166667,5.71473333333,6.1884,12.7712,7.7724,9.38493333333,9.87166666666,26.0226,10.2204,27.5486666667,6.30873333333,8.70206666666
417.58,12.1623333333,7.07358333333,5.60686666667,6.0656,12.6885333333,7.68486666667,9.29353333333,9.78153333334,25.9149333333,10.0848,27.4652666667,6.20526666667,8.62239999999
417.94,12.0980666667,6.98083333333,5.51693333333,5.96086666667,12.6277333333,7.62293333333,9.2054,9.71993333333,25.8288,9.96176666667,27.3832666667,6.12026666667,8.5578
418.29,12.0260666667,6.87920833333,5.44466666667,5.8538,12.5571333333,7.54706666667,9.13193333333,9.65239999999,25.7138666667,9.84713333335,27.2819333334,6.0234,8.487
418.65,11.9577333333,6.79570833333,5.36266666667,5.76493333333,12.4867333333,7.48406666667,9.06693333333,9.57766666666,25.6128666667,9.74320000001,27.1797333333,5.92866666667,8.4294
419.01,11.9045333333,6.72966666667,5.31006666667,5.6824,12.4525333333,7.4424,9.03153333334,9.53813333333,25.5408,9.65770000001,27.0993333333,5.8636,8.39833333333
419.37,11.8634,6.68179166666,5.26526666667,5.63386666667,12.4494,7.4052,9.01139999999,9.51146666667,25.4886,9.5916,27.0544666667,5.8212,8.37053333333
419.73,11.8238,6.61816666667,5.22486666667,5.5774,12.4,7.35793333333,8.98993333334,9.49166666667,25.4302666667,9.51293333334,26.9916,5.7678,8.33646666666
420.08,11.7925333333,6.569875,5.20533333333,5.5442,12.3979333333,7.33326666667,8.96846666666,9.46113333334,25.3525333333,9.46349999999,26.9095333333,5.73653333333,8.3186
420.44,11.7792666667,6.54554166666,5.19613333333,5.5282,12.3875333333,7.3294,8.9676,9.45953333333,25.3154,9.44023333334,26.8778666667,5.72493333333,8.3058
420.80,11.7408,6.50979166667,5.17186666667,5.48193333333,12.3719333333,7.31273333333,8.94920000001,9.44586666667,25.2614666667,9.38839999999,26.8477333333,5.69446666667,8.30140000001
421.16,11.7232666667,6.48645833333,5.14906666667,5.44946666667,12.3662,7.297,8.9424,9.43873333333,25.219,9.35056666667,26.8128666667,5.66786666667,8.28640000001
421.51,11.7347333333,6.46491666667,5.14613333333,5.4256,12.3898,7.30793333333,8.95653333333,9.44460000001,25.2057333333,9.33340000001,26.8024666666,5.654,8.28026666667
421.87,11.7279333333,6.42804166667,5.12466666667,5.3942,12.3768,7.28633333333,8.96133333333,9.43080000001,25.1736666667,9.30779999999,26.7719333333,5.6212,8.25946666667
422.23,11.6946,6.397,5.08666666667,5.35293333333,12.3635333334,7.25813333333,8.94906666667,9.41840000001,25.1281333333,9.25886666666,26.7524666667,5.59313333333,8.24720000001
422.58,11.6725333333,6.34795833334,5.05313333333,5.30726666667,12.3601333333,7.2344,8.93186666667,9.41039999999,25.0730666667,9.20693333333,26.7047333333,5.56186666667,8.22179999999
422.94,11.6374,6.28875,4.9958,5.2548,12.3261333333,7.2114,8.8952,9.38446666666,25.0248666667,9.13869999999,26.6897333333,5.51066666667,8.19659999999
423.30,11.622,6.250375,4.96733333333,5.2128,12.3117333333,7.19766666667,8.86666666667,9.37473333333,24.9710666667,9.10733333333,26.6661333334,5.47126666667,8.18266666666
423.66,11.5864666667,6.196875,4.91053333333,5.15306666667,12.2974,7.17133333333,8.835,9.32773333333,24.8985333333,9.05340000001,26.6055333333,5.43606666667,8.15980000001
