wavelength,Back_ConSitm,Belly_ConSitm,Breast_ConSitm,Crissum_ConSitm,Crown_ConSitm,DorTail_ConSitm,Rump_ConSitm,Throat_ConSitm,WingTip_ConSitm
198.54,116.666666667,88.6666666667,44.3333333332,162.333333333,49.3333333333,54.0,54.0000000001,53.3333333333,128.083333333
198.92,134.0172,111.282066667,61.3673333334,179.487266667,59.8291333331,68.3761999999,61.8803999999,70.0854666668,142.9915
199.30,141.0812,130.6306,64.5044666668,207.207,69.9099333334,83.2432666666,80.901,80.9009333332,158.9188
199.68,159.798,149.899,58.7877999999,235.9596,71.9192000001,94.7476666668,76.1616666669,92.9292,170.100966667
200.06,129.855133334,121.159466667,57.2462666668,178.6956,69.2754,80.7245333335,67.2463333333,79.8549999999,125.3624
200.44,95.9307333334,87.7056666668,52.2078666667,120.086666667,60.6061333334,70.5628666666,57.5756666666,61.3853333333,91.2987333334
200.82,93.5064666667,83.1169333333,56.1905333333,113.7664,63.5499333333,72.6406666667,57.6622666667,59.7402666667,87.1861333333
201.19,97.4893333333,92.4673999999,63.9826666667,117.1428,70.3030666667,79.7402000001,60.5196,66.5801333333,89.1775666667
201.57,92.6666666665,87.4074,60.5926,105.7778,71.9259333334,80.0741333333,59.8519333333,65.7778000001,82.4813
201.95,76.1468666667,71.7430666667,50.8868666667,82.5076666667,60.6729333334,65.1986666667,48.9296666667,54.3118666667,66.2998333333
202.33,64.1954666667,62.0114666667,47.5287999999,69.5976000001,50.1147999999,55.6896,40.1149333333,47.7586,56.2068666666
202.71,64.1343333333,65.3230000001,53.1265333333,70.9044000001,53.3850000001,57.416,44.1344666667,48.6820666667,58.5012333333
203.09,62.2916666667,63.4376666667,52.9167333333,68.4376666667,53.2292666667,57.6043333333,43.6978666667,47.1875333333,56.7967333333
203.47,59.0403333333,59.0403333333,53.2323333333,59.4951333333,52.5253333333,55.4545999999,37.1211333333,44.4949333333,52.6514333333
203.85,54.1609333333,54.4367333333,52.0000666667,52.5057333333,51.3562666667,52.8276666668,37.7470666667,41.2414,50.5746666667
204.22,51.5839333333,56.4065999999,51.7730666667,53.0024,50.7328666666,54.5628000001,37.5886666667,42.9787333333,51.0640333333
204.60,48.2644666667,60.7714666666,52.9475333333,56.1984,45.9504666667,55.3720000001,36.0880666667,44.1321333333,50.854
204.98,46.4,60.1600000001,50.4000000001,58.24,44.7466666666,54.7199999999,33.8666666667,44.48,49.9466666667
205.36,44.7769333334,59.0026666667,45.2493333333,56.6404,42.7297333333,53.3858666666,32.021,44.4094666667,47.6116
205.74,41.6146666667,56.3020000001,42.8646000001,55.7293333333,41.3542,49.1667333333,27.5520666667,42.0834666667,43.4895
206.12,42.4339333333,59.4179333333,44.4443333334,58.4657333333,42.7514,51.1109333333,29.4178666666,44.3386666667,46.1904666667
206.50,47.9999333333,71.2728000001,53.3939333333,68.0001333334,53.1515333334,58.9697333333,34.9092,52.7877333333,54.8486333333
206.87,45.2714,77.2093333333,49.0697999999,70.8527333333,50.5426,62.7907333333,29.0698000001,55.6589333334,56.1627333333
207.25,41.7142,69.1427333334,42.2858000001,60.381,43.7459333333,53.3333333333,26.5396666667,52.5713333333,52.5079333334
207.63,40.7476666667,66.2926666667,35.9502666667,59.813,38.6914666667,48.7226666667,25.919,50.1558666668,51.9314000001
208.01,33.9518666667,64.6736666667,32.6461333333,62.7493333333,32.0275999999,41.9932666666,14.9140666667,47.2852666667,47.5257666667
208.39,31.0862,58.1273333333,23.9698666667,62.6964666667,27.4906666667,36.9288000001,4.19473333334,42.0223999999,46.7791333333
208.77,36.2410666667,56.5957333333,21.5603333333,58.0851333333,29.6455333334,36.0992666667,0.28360000006,40.4963333333,49.0424
209.14,47.7777333333,68.0739999999,29.9258666667,66.0740666667,38.4444666666,43.8517333334,8.59253333332,49.2591333333,59.7406666667
209.52,49.1489333334,63.9716666667,35.6737333333,68.2269999999,38.4396666666,42.2695333333,16.0992666666,52.3404666665,61.7022666667
209.90,56.5812,69.1452666667,39.3164000001,74.9572,38.8034666667,43.9316666666,17.8632666667,57.3504666667,74.3589666667
210.28,61.2902666667,68.7096666667,31.9355333333,72.5806666665,27.7419333333,38.4944666666,7.95699999994,60.2150666665,79.6774666667
210.66,47.4286,50.4761333334,12.5714666667,50.7619333333,12.0,25.1428666667,0.76186666672,41.9999999999,61.6189333333
211.03,55.5833333333,50.4166666667,24.1666666667,49.8333333333,21.5833333333,30.5000000001,17.4166666666,45.4166666668,65.7083333333
211.41,61.7722,58.2277333333,33.7552666667,55.6118,31.8986666667,39.4936666666,28.1014,51.0547333334,70.9705000001
211.79,63.9024666667,62.1138666667,42.0324,59.5935333333,35.2033333334,44.7968,31.3008,54.4715333333,71.5447000001
