wavelength,Back_TanVarf,Belly_TanVarf,Breast_TanVarf,Crissum_TanVarf,Crown_TanVarf,DorTail_TanVarf,Patch10_TanVarf,Patch11_TanVarf,Rump_TanVarf,Throat_TanVarf,WingTip_TanVarf
415.07,9.21111111112,21.727,14.1923333333,20.9967777778,6.29733333334,9.18211111112,8.15033333332,9.37983333333,8.72066666667,16.8665555555,7.98766666667
415.43,9.16966666667,21.6088888889,14.0957777778,20.9218888889,6.26966666667,9.18733333333,8.13144444445,9.34983333333,8.659,16.767,7.97833333333
415.79,9.13877777779,21.4738888889,14.002,20.802,6.22011111111,9.16555555555,8.10366666665,9.29244444444,8.62277777778,16.6845555555,7.95705555555
416.15,9.08244444445,21.3238888889,13.8657777778,20.692,6.13866666667,9.13100000001,8.08677777777,9.22216666667,8.55788888889,16.5835555556,7.93677777778
416.51,9.08144444444,21.27,13.7866666666,20.6357777778,6.14577777778,9.14255555557,8.13033333335,9.22138888889,8.58322222222,16.5483333333,7.99366666667
416.86,9.10844444444,21.1715555555,13.7497777778,20.5806666667,6.15155555556,9.18511111111,8.16344444444,9.23244444445,8.60211111111,16.5166666667,8.03994444444
417.22,9.16022222221,21.1287777778,13.7376666666,20.537,6.20344444444,9.25611111112,8.21166666667,9.24922222222,8.642,16.5292222222,8.08383333333
417.58,9.14255555557,20.9792222222,13.63,20.421,6.18522222222,9.23233333334,8.21066666666,9.22827777778,8.61044444444,16.4208888889,8.10605555555
417.94,9.12077777777,20.8726666667,13.5536666666,20.3296666667,6.15066666667,9.24566666668,8.20588888888,9.21894444444,8.60133333333,16.3598888889,8.12755555556
418.29,9.14155555556,20.7928888889,13.4954444444,20.2583333334,6.19255555556,9.27255555554,8.27255555554,9.22105555556,8.61766666667,16.321,8.20211111111
418.65,9.16833333334,20.7077777778,13.4652222222,20.1734444445,6.209,9.312,8.30766666667,9.22011111111,8.642,16.2847777778,8.25922222222
419.01,9.12666666668,20.5753333333,13.3422222222,20.0604444444,6.15722222222,9.2708888889,8.2728888889,9.14772222222,8.59888888889,16.1896666667,8.24116666667
