wavelength,Back_TanFucf,Belly_TanFucf,Breast_TanFucf,Crissum_TanFucf,Crown_TanFucf,DorTail_TanFucf,Patch10_TanFucf,Patch11_TanFucf,Patch12_TanFucf,Patch13_TanFucf,Rump_TanFucf,Throat_TanFucf,WingTip_TanFucf
820.85,17.6258888889,47.5691111111,18.8782222222,49.1544444444,24.8997777778,18.1635,12.608,18.0054444444,17.4194444444,23.8752222222,25.0811111111,15.918,17.4111111111
821.15,17.3665555556,47.2148888889,18.657,48.7021111111,24.4786666667,17.9962350427,12.4197777778,17.8806666667,16.94,23.334,24.9052222222,15.7696666667,17.228
821.45,17.5546666667,47.1583333333,18.842,48.8111111111,24.4994444444,18.0251709402,12.4113333333,17.9167777778,16.8591111111,23.3382222222,25.03,15.8566666667,17.1374444445
821.76,17.747,47.0794444444,18.9807777778,48.7723333333,24.5334444444,18.2549188034,12.5303333333,17.971,16.8667777778,23.4528888889,25.1725555556,15.9985555556,17.3262222222
822.06,17.8417777778,47.093,19.0456666667,48.8302222222,24.3482222222,18.3241880342,12.6242222222,17.9677777778,16.6954444444,23.4725555556,25.2183333333,15.9813333333,17.4122222222
822.36,17.8631111111,47.1594444444,19.1827777778,49.0522222222,24.5418888889,18.4863461539,12.8074444444,18.0777777778,16.897,23.5233333333,25.2303333333,16.2294444444,17.6614444444
822.67,18.0211111111,47.2246666666,19.2096666666,49.1964444444,24.5917777778,18.5649615385,12.9986666666,18.1692222222,17.0315555556,23.735,25.306,16.3122222222,17.8578888889
822.97,18.119,47.4995555556,19.2996666666,49.1495555556,24.6754444444,18.6600128205,13.1132222222,18.2413333333,17.0631111111,23.8135555556,25.3588888889,16.3084444445,17.8511111111
823.27,18.345,47.9381111111,19.5514444444,49.3994444444,24.8534444445,18.8508076923,13.3952222222,18.4632222222,17.1805555556,24.0254444445,25.6131111111,16.4838888889,18.1322222222
823.58,18.5985555556,48.0601111111,19.7742222222,49.4204444445,24.9207777778,19.051474359,13.5123333334,18.6646666667,17.3315555555,24.1884444445,25.7001111111,16.5772222222,18.2954444444
823.88,19.051,48.6136666667,20.1464444445,49.8478888889,25.2694444444,19.5229957265,13.934,19.184,17.6456666667,24.7702222222,26.037,17.0015555555,18.7971111111
824.18,19.2486666667,48.713,20.4988888889,50.0655555556,25.4612222222,19.8223076923,14.2605555556,19.5492222222,17.8291111111,25.1286666667,26.2892222222,17.2821111111,19.1271111111
824.49,19.4917777778,49.1368888889,20.8165555556,50.4473333334,25.6922222222,20.1116410256,14.4015555556,19.7597777778,18.097,25.5758888889,26.4777777778,17.6635555556,19.4744444444
824.79,19.2875555556,49.4135555555,20.788,50.3797777778,25.4996666667,20.1836709402,14.4081111111,19.806,18.0754444444,25.6325555556,26.4194444444,17.7054444444,19.5604444444
825.09,19.4093333333,49.6918888889,20.8624444445,50.699,25.6384444445,20.3418760684,14.7014444444,20.017,18.3088888889,25.7913333333,26.4883333333,17.7523333334,19.6727777778
825.39,19.2837777778,49.4746666667,20.9227777778,50.4302222222,25.8172222222,20.4157393163,14.9914444444,20.2298888889,18.6543333333,25.8397777778,26.5008888889,18.0024444445,19.7815555555
825.70,19.2128888889,49.3196666667,20.7862222222,50.175,25.3825555556,20.0716068376,14.8952222222,20.0822222222,18.4097777778,25.6897777778,26.4457777778,17.824,19.3121111111
826.00,19.0016666667,49.1485555556,20.4611111111,49.9318888889,24.9464444445,19.8319273504,14.434,19.8773333333,18.204,25.2674444444,26.2794444444,17.411,19.0601111111
826.30,18.8355555556,48.7726666667,20.3391111111,49.8522222222,24.608,19.5201153846,14.1526666667,19.8756666667,18.2885555555,25.1011111111,26.2396666667,17.2336666667,18.8552222222
826.61,18.2476666667,48.2644444444,19.7637777778,49.5811111111,24.1072222222,18.9269273504,13.5545555555,19.4494444445,17.7938888889,24.591,25.6534444444,16.7016666667,18.3174444444
826.91,17.9267777778,47.8948888889,19.4005555555,49.5146666667,23.8116666667,18.6267264957,13.1835555555,19.1186666667,17.3882222222,24.2492222222,25.3911111111,16.5082222222,17.8913333333
827.21,17.5577777778,46.9976666667,18.7198888889,49.033,23.2273333334,17.9700897436,12.5324444445,18.3796666667,16.8621111111,23.6738888889,25.1256666667,15.9331111111,17.3036666667
827.51,17.4648888889,46.903,18.5287777778,48.7163333333,23.0901111111,17.7744444444,12.3146666667,18.1776666667,16.6693333333,23.4825555556,25.0218888889,16.0235555555,17.0773333334
