wavelength,Back_OryNutm,Belly_OryNutm,Breast_OryNutm,Crissum_OryNutm,Crown_OryNutm,DorTail_OryNutm,Rump_OryNutm,Throat_OryNutm,WingTip_OryNutm
685.75,6.50286666667,5.83953333333,6.83863333333,7.40506666667,7.21186666667,9.492,6.36543333333,6.835,10.6969333333
686.08,6.4626,5.89993333333,6.91873333333,7.3282,7.23197777778,9.53713333333,6.384,6.82746666667,10.6395333333
686.40,6.34506666667,5.81836666667,6.82326666667,7.18266666667,7.08302222222,9.38626666667,6.34236666667,6.72506666667,10.5687333333
686.72,6.50713333333,6.0086,6.98613333333,7.27253333333,7.24846666667,9.53693333333,6.461,6.89833333333,10.7786666667
687.05,6.72733333333,6.15076666667,7.15003333333,7.41653333333,7.47137777778,9.76113333333,6.68623333333,7.06226666667,11.0107333333
687.37,6.6186,6.08966666667,7.00886666667,7.26553333333,7.39015555555,9.60646666667,6.5742,6.9564,10.9414666667
687.70,6.77173333333,6.2256,7.2687,7.48106666667,7.55288888889,9.7589,6.7359,7.13173333333,11.1364666667
688.02,6.72266666667,6.12703333333,7.25546666667,7.4634,7.47975555555,9.68223333333,6.6677,7.07193333334,11.1401333333
688.34,6.9686,6.39073333333,7.4143,7.71693333333,7.72842222222,9.9036,6.88186666667,7.31793333333,11.3569333333
688.67,7.05633333333,6.41956666667,7.47336666667,7.85406666667,7.84735555555,9.91723333333,6.97683333333,7.38226666667,11.4344666667
688.99,6.91086666667,6.27316666667,7.33396666667,7.6338,7.64384444444,9.74543333333,6.78223333333,7.1596,11.2764666667
689.32,6.90026666667,6.38776666667,7.3855,7.65566666667,7.72224444445,9.7457,6.80686666667,7.2004,11.2799333333
689.64,6.8128,6.36446666667,7.24743333333,7.65013333333,7.71637777778,9.62856666667,6.725,7.15006666667,11.2346666667
689.96,6.7432,6.27576666667,7.07246666667,7.6222,7.59984444445,9.56593333333,6.5952,7.05573333333,11.0771333333
690.29,6.76826666667,6.383,7.0323,7.7208,7.59684444445,9.60453333334,6.6555,7.0374,11.0922
690.61,6.7526,6.45906666667,6.9969,7.78813333333,7.62768888889,9.5246,6.64173333333,7.03746666667,11.0465333333
